"Handle","Title","Body (HTML)","Vendor","Standardized Product Type","Custom Product Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status","originalUrl"
"Rapsodia Women's Cotton Regular Kurta","Rapsodia Women's Cotton Regular Kurta","              <ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> Care Instructions: Gentle hand wash or machine wash. Wash dark colors separately. Do not bleach, and line dry in shade. Medium to mild iron  </span></li>  <li><span class=""a-list-item""> Fabric: 100% Cotton  </span></li>  <li><span class=""a-list-item""> Kurta Length: Mid-Thigh; Style: Regular  </span></li>  <li><span class=""a-list-item""> Sleeve Type: Three-Fourth  </span></li>  <li><span class=""a-list-item""> Neck Type: Round Neck  </span></li>  <li><span class=""a-list-item""> Occasion Type: Casual; Sleeve Type: 3/4 Sleeve; Age Range Description: Adult; Design Name: Printed  </span></li>  </ul> <!-- Loading EDP related metadata -->
                                   ","pawsmall","","","","TRUE","SIZE","S","","","","","",,"","","deny","manual","?399.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71xoygHhcGL._UL1500_.jpg","kg","","","active","https://www.amazon.in/Rapsodia-Womens-Cotton-Straight-Kurta/dp/B07PQ73TL8/ref=sr_1_1?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-1"
"Rapsodia Women's Cotton Regular Kurta","","","","","","","","","M","","","","","",,"","","deny","manual","?399.00","","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","","","kg","","","",""
"Rapsodia Women's Cotton Regular Kurta","","","","","","","","","L","","","","","",,"","","deny","manual","?399.00","","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","","","kg","","","",""
"Rapsodia Women's Cotton Regular Kurta","","","","","","","","","XL","","","","","",,"","","deny","manual","?399.00","","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","","","kg","","","",""
"Rapsodia Women's Cotton Regular Kurta","","","","","","","","","2XL","","","","","",,"","","deny","manual","?399.00","","TRUE","FALSE","","","","","","","","","","","","","","","","","","","","","","kg","","","",""
"HANOBA Cream N Blue Cambric Cotton Printed Casual Wear Kurta","HANOBA Cream N Blue Cambric Cotton Printed Casual Wear Kurta","              <ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> Care Instructions: Hand Wash Only  </span></li>  <li><span class=""a-list-item""> Fit Type: Regular  </span></li>  <li><span class=""a-list-item""> Kurta Fabric : Cambric Cotton  </span></li>  <li><span class=""a-list-item""> Color : Blue  </span></li>  <li><span class=""a-list-item""> Sleeve : 3/4 Sleeves  </span></li>  <li><span class=""a-list-item""> Kurta for Women  </span></li>  </ul> <!-- Loading EDP related metadata -->
                                   ","pawsmall","","","","TRUE","","","","","","","","?2,499.00","","","deny","manual","?299.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/81p8DdObnQL._UL1500_.jpg","kg","","","active","https://www.amazon.in/HANOBA-Cambric-Cotton-Printed-Casual/dp/B0B719DSZK/ref=sr_1_2?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-2"
"HANOBA Black N Gold Cambric Cotton Printed Casual Wear Kurta","HANOBA Black N Gold Cambric Cotton Printed Casual Wear Kurta",,"pawsmall","","","","TRUE","","","","","","","","?2,499.00","","","deny","manual","?299.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/916SQFPI80L._UL1500_.jpg","kg","","","active","https://www.amazon.in/HANOBA-Cambric-Cotton-Printed-Casual/dp/B0B716PJDQ/ref=sr_1_3?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-3"
"HANOBA Tapeta Silk Solid Kurta","HANOBA Tapeta Silk Solid Kurta","              <ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> Care Instructions: Hand Wash Only  </span></li>  <li><span class=""a-list-item""> Fit Type: Regular  </span></li>  <li><span class=""a-list-item""> Kurta Fabric : Tapeta Silk  </span></li>  <li><span class=""a-list-item""> Color : Royal Blue  </span></li>  <li><span class=""a-list-item""> Sleeve : 3/4 Sleeves  </span></li>  <li><span class=""a-list-item""> Kurta for Women  </span></li>  </ul> <!-- Loading EDP related metadata -->
                                   ","pawsmall","","","","TRUE","","","","","","","","?2,749.00","","","deny","manual","?299.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71-PX5ar+mL._UL1500_.jpg","kg","","","active","https://www.amazon.in/HANOBA-Royal-Tapeta-Solid-Kurta/dp/B0B6W43NM6/ref=sr_1_4?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-4"
"HANOBA Pink Cotton Soft Silk Solid Handloom Kurta","HANOBA Pink Cotton Soft Silk Solid Handloom Kurta","              <ul class=""a-unordered-list a-vertical a-spacing-mini"">   <li><span class=""a-list-item""> Care Instructions: Dry Clean Only  </span></li>  <li><span class=""a-list-item""> Fit Type: Regular  </span></li>  <li><span class=""a-list-item""> Kurta Fabric : Cotton Soft Silk  </span></li>  <li><span class=""a-list-item""> Color : Pink  </span></li>  <li><span class=""a-list-item""> Sleeve : 3/4 Sleeves  </span></li>  <li><span class=""a-list-item""> Kurta for Women  </span></li>  </ul> <!-- Loading EDP related metadata -->
                                   ","pawsmall","","","","TRUE","","","","","","","","?2,749.00","","","deny","manual","?299.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71IfHM9WYuL._UL1500_.jpg","kg","","","active","https://www.amazon.in/HANOBA-Cotton-Solid-Handloom-Kurta/dp/B0B74H4XHW/ref=sr_1_5?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-5"
"HANOBA Cotton Soft Silk Solid Handloom Kurta","HANOBA Cotton Soft Silk Solid Handloom Kurta",,"pawsmall","","","","TRUE","","","","","","","","?2,749.00","","","deny","manual","?299.00","","TRUE","FALSE","","","","","FALSE","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71IfHM9WYuL._UL1500_.jpg","kg","","","active","https://www.amazon.in/HANOBA-Cotton-Solid-Handloom-Kurta/dp/B0B748XYJ5/ref=sr_1_6?pf_rd_i=1953602031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=7d2900d7-aee1-4faa-9248-133e893ebb4c&pf_rd_r=3HB4HPGT5CTNDYVVK166&pf_rd_s=merchandised-search-14&qid=1661312188&refinements=p_n_pct-off-with-tax%3A27060456031%2Cp_n_feature_nine_browse-bin%3A28972539031&rnid=3837712031&s=apparel&sr=1-6"
